account,ticker,industry,sub_industry,source,measured_signals,ai_hiring,ai_announce,cloud,global_reach,data_centre,base_score,note_count,kb_count,note_adj,kb_adj,news_adj,adjusted_score,tier,tier_action,segment,lookalikes
NVIDIA,NVDA,Technology,Semiconductors & Hardware,baseline,SEC filings,96,0,82,86,95,65.9,0,0,0.0,0.0,5.0,70.9,Tier 2,Nurture,Strong Adopters,Broadcom; Dell Technologies; Qualcomm; Meta Platforms; Oracle
Deere & Company,DE,Manufacturing & Industrial,Industrial & Materials,baseline,SEC filings,76,42,76,96,52,69.8,0,0,0.0,0.0,1.1,70.89999999999999,Tier 2,Nurture,Late Starters,Pfizer; Eaton; Amgen; Ford Motor; Honeywell
Gartner,IT,Professional Services,Professional Services,baseline,SEC filings,82,28,84,94,42,65.7,0,0,0.0,0.0,5.0,70.7,Tier 2,Nurture,Steady Middle,Cognizant; Booz Allen Hamilton; Electronic Arts; PayPal; BlackRock
Corning,GLW,Manufacturing & Industrial,Industrial & Materials,baseline,SEC filings,76,21,76,96,52,65.6,0,0,0.0,0.0,5.0,70.6,Tier 2,Nurture,Steady Middle,Rockwell Automation; Eaton; Amgen; Ford Motor; Pfizer
BlackRock,BLK,Financial Services,Asset Mgmt & Insurance,baseline,SEC filings,80,42,82,88,46,65.1,0,0,0.0,0.0,5.0,70.1,Tier 2,Nurture,Late Starters,Pfizer; Gartner; Amgen; American Express; Bank of America
Cognizant,CTSH,Professional Services,Professional Services,baseline,SEC filings,82,21,84,94,42,64.3,0,0,0.0,0.0,5.0,69.3,Tier 2,Nurture,Steady Middle,Booz Allen Hamilton; Gartner; Electronic Arts; PayPal; Citigroup
Pfizer,PFE,Healthcare,Pharma & Biotech,baseline,SEC filings,78,35,78,94,50,68.2,0,0,0.0,0.0,1.0,69.2,Tier 2,Nurture,Steady Middle,Amgen; Deere & Company; Eaton; Ford Motor; Honeywell
Datadog,DDOG,Technology,Software & Internet,baseline,SEC filings,86,14,94,75,59,63.7,0,0,0.0,0.0,5.0,68.7,Tier 2,Nurture,AI Front-Runners,Workday; Atlassian; Netflix; ServiceNow; Intuit
Amgen,AMGN,Healthcare,Pharma & Biotech,baseline,SEC filings,78,28,78,94,50,66.5,0,0,0.0,0.0,1.7,68.2,Tier 2,Nurture,Steady Middle,Pfizer; Eaton; Ford Motor; Corning; Honeywell
Applied Materials,AMAT,Technology,Semiconductors & Hardware,baseline,SEC filings,84,14,72,94,76,63.0,0,0,0.0,0.0,5.0,68.0,Tier 2,Nurture,Strong Adopters,Intel; Dell Technologies; Qualcomm; Broadcom; AMD
Intel,INTC,Technology,Semiconductors & Hardware,baseline,SEC filings,84,14,72,94,76,63.0,0,0,0.0,0.0,5.0,68.0,Tier 2,Nurture,Strong Adopters,Applied Materials; Dell Technologies; Qualcomm; Broadcom; AMD
Netflix,NFLX,Media & Entertainment,Media & Entertainment,baseline,SEC filings,86,7,90,84,52,61.9,1,0,0.0,0.0,5.0,66.9,Tier 2,Nurture,Steady Middle,Spotify; Accenture; Atlassian; Workday; Datadog
Rockwell Automation,ROK,Manufacturing & Industrial,Industrial & Materials,baseline,SEC filings,76,14,76,96,52,63.6,0,0,0.0,0.0,3.0,66.6,Tier 2,Nurture,Steady Middle,Corning; Eaton; Merck; Thermo Fisher Scientific; Johnson & Johnson
Workday,WDAY,Technology,Software & Internet,baseline,SEC filings,86,7,94,75,59,61.3,0,0,0.0,0.0,5.0,66.3,Tier 2,Nurture,AI Front-Runners,Datadog; Atlassian; Netflix; Spotify; ServiceNow
Morgan Stanley,MS,Financial Services,Banks,baseline,SEC filings,88,7,82,84,54,60.9,0,0,0.0,0.0,5.0,65.9,Tier 2,Nurture,Steady Middle,JPMorgan Chase; Moderna; Accenture; Netflix; Citigroup
Walmart,WMT,Retail & Consumer,Retail,baseline,SEC filings,80,49,82,58,54,60.8,0,0,0.0,0.0,5.0,65.8,Tier 2,Nurture,Late Starters,UnitedHealth Group; Rivian; Wells Fargo; Bank of America; Stryker
Tesla,TSLA,Manufacturing & Industrial,Automotive,baseline,SEC filings,92,35,72,80,88,60.5,0,0,0.0,0.0,5.0,65.5,Tier 2,Nurture,Strong Adopters,Marvell; AMD; Broadcom; Qualcomm; Dell Technologies
Booz Allen Hamilton,BAH,Professional Services,Professional Services,baseline,SEC filings,82,14,84,94,42,62.3,0,0,0.0,0.0,2.7,65.0,Tier 2,Nurture,Steady Middle,Cognizant; Infosys (Americas); Gartner; Electronic Arts; The Walt Disney Company
HP Inc.,HPQ,Technology,Semiconductors & Hardware,baseline,SEC filings,76,28,68,94,72,59.4,0,0,0.0,0.0,5.0,64.4,Tier 2,Nurture,Strong Adopters,Applied Materials; Intel; Texas Instruments; Eaton; Corning
Moderna,MRNA,Healthcare,Pharma & Biotech,baseline,SEC filings,84,14,82,82,58,60.1,0,0,0.0,0.0,4.2,64.3,Tier 2,Nurture,Steady Middle,Morgan Stanley; Goldman Sachs; JPMorgan Chase; Eli Lilly; Regeneron
Spotify,SPOT,Media & Entertainment,Media & Entertainment,baseline,SEC filings,86,0,90,84,52,58.1,0,0,0.0,0.0,5.0,63.1,Tier 2,Nurture,Steady Middle,Netflix; Accenture; Mastercard; Visa; Workday
JPMorgan Chase,JPM,Financial Services,Banks,baseline,SEC filings,88,0,82,84,54,57.2,0,0,0.0,0.0,5.0,62.2,Tier 2,Nurture,Steady Middle,Morgan Stanley; Moderna; Accenture; TD Bank Group; Spotify
Ford Motor,F,Manufacturing & Industrial,Automotive,baseline,SEC filings,80,28,76,88,50,59.8,0,0,0.0,0.0,2.1,61.9,Tier 2,Nurture,Steady Middle,Honeywell; Amgen; Pfizer; Eaton; Corning
Infosys (Americas),INFY,Professional Services,Professional Services,baseline,SEC filings,82,0,84,94,42,56.3,0,0,0.0,0.0,5.0,61.3,Tier 2,Nurture,Steady Middle,The Walt Disney Company; Comcast (NBCUniversal); Booz Allen Hamilton; Global Payments; TD Bank Group
UnitedHealth Group,UNH,Healthcare,"Payers, Providers & MedTech",baseline,SEC filings,82,42,80,52,58,60.1,0,0,0.0,0.0,0.8,60.9,Tier 2,Nurture,Late Starters,Walmart; Wells Fargo; Intuitive Surgical; Stryker; Rivian
Merck,MRK,Healthcare,Pharma & Biotech,baseline,SEC filings,78,0,78,94,50,57.1,0,0,0.0,0.0,2.3,59.4,Tier 2,Nurture,Steady Middle,Johnson & Johnson; Thermo Fisher Scientific; General Motors; Toyota (Americas); Vertex Pharmaceuticals
Procter & Gamble,PG,Retail & Consumer,CPG & Food/Beverage,baseline,SEC filings,72,49,76,100,36,57.6,0,0,0.0,0.0,0.8,58.4,Tier 2,Nurture,Late Starters,Aon; McDonald's; Berkshire Hathaway; Deere & Company; Marsh McLennan
Fiserv,FI,Financial Services,Payments & Fintech,baseline,,78,70,84,80,44,57.8,0,0,0.0,0.0,0.6,58.4,Tier 2,Nurture,Late Starters,Paramount; Marsh McLennan; Block; FedEx; BlackRock
Johnson & Johnson,JNJ,Healthcare,Pharma & Biotech,baseline,SEC filings,78,0,78,94,50,57.1,0,0,0.0,0.0,0.6,57.7,Tier 2,Nurture,Steady Middle,Merck; Thermo Fisher Scientific; General Motors; Toyota (Americas); Vertex Pharmaceuticals
Honeywell,HON,Manufacturing & Industrial,Aerospace & Defense,baseline,SEC filings,80,28,76,84,52,57.1,0,0,0.0,0.0,0.3,57.4,Tier 2,Nurture,Steady Middle,Ford Motor; Amgen; Pfizer; Eaton; Regeneron
Thermo Fisher Scientific,TMO,Healthcare,Pharma & Biotech,baseline,SEC filings,78,0,78,94,50,57.1,0,0,0.0,0.0,0.3,57.4,Tier 2,Nurture,Steady Middle,Johnson & Johnson; Merck; General Motors; Toyota (Americas); Vertex Pharmaceuticals
Citigroup,C,Financial Services,Banks,baseline,SEC filings,82,14,78,84,46,53.6,0,0,0.0,0.0,3.5,57.1,Tier 2,Nurture,Steady Middle,Regeneron; TD Bank Group; Charles Schwab; Toyota (Americas); General Motors
Electronic Arts,EA,Media & Entertainment,Media & Entertainment,baseline,SEC filings,80,21,86,84,44,56.3,0,0,0.0,0.0,0.7,57.0,Tier 2,Nurture,Steady Middle,Cognizant; Booz Allen Hamilton; Gartner; PayPal; Comcast (NBCUniversal)
Wells Fargo,WFC,Financial Services,Banks,baseline,SEC filings,82,28,78,72,46,52.6,0,0,0.0,0.0,4.0,56.6,Tier 2,Nurture,Steady Middle,Charles Schwab; Honeywell; Stryker; Citigroup; Ford Motor
Intuitive Surgical,ISRG,Healthcare,"Payers, Providers & MedTech",baseline,SEC filings,82,14,80,64,58,55.6,0,0,0.0,0.0,0.7,56.300000000000004,Tier 2,Nurture,Steady Middle,Medtronic; Moderna; Charles Schwab; Stryker; Wells Fargo
Paramount,PARA,Media & Entertainment,Media & Entertainment,baseline,,72,66,82,84,40,51.2,0,0,0.0,0.0,3.9,55.1,Tier 2,Nurture,Late Starters,Marsh McLennan; Fiserv; FedEx; Berkshire Hathaway; Procter & Gamble
McDonald's,MCD,Retail & Consumer,CPG & Food/Beverage,baseline,SEC filings,72,28,76,100,36,54.1,0,0,0.0,0.0,0.8,54.9,Tier 2,Nurture,Watch List,Starbucks; Aon; AbbVie; AIG; Procter & Gamble
Rivian,RIVN,Manufacturing & Industrial,Automotive,baseline,SEC filings,80,70,76,51,50,53.0,0,0,0.0,0.0,1.5,54.5,Tier 2,Nurture,Late Starters,Walmart; UnitedHealth Group; Walgreens Boots Alliance; Fiserv; FedEx
Aon,AON,Financial Services,Asset Mgmt & Insurance,baseline,SEC filings,74,35,78,88,38,50.9,0,0,0.0,0.0,3.5,54.4,Tier 2,Nurture,Late Starters,McDonald's; GE Aerospace; Pfizer; Procter & Gamble; Cummins
Marsh McLennan,MMC,Financial Services,Asset Mgmt & Insurance,baseline,,74,70,78,88,38,53.7,0,0,0.0,0.0,0.1,53.800000000000004,Tier 2,Nurture,Late Starters,FedEx; Paramount; Fiserv; Berkshire Hathaway; Schneider Electric
FedEx,FDX,Logistics & Transportation,Logistics & Transportation,baseline,SEC filings,72,70,76,84,44,50.6,0,0,0.0,0.0,2.0,52.6,Tier 2,Nurture,Late Starters,Marsh McLennan; Paramount; Siemens (Americas); Schneider Electric; Berkshire Hathaway
AbbVie,ABBV,Healthcare,Pharma & Biotech,baseline,SEC filings,70,21,74,94,46,51.8,0,0,0.0,0.0,0.4,52.199999999999996,Tier 2,Nurture,Watch List,Bristol Myers Squibb; Gilead Sciences; Cummins; Corning; Eaton
Starbucks,SBUX,Retail & Consumer,CPG & Food/Beverage,baseline,SEC filings,72,14,76,100,36,50.8,0,0,0.0,0.0,1.2,52.0,Tier 2,Nurture,Watch List,Nike; Coca-Cola; Unilever (Americas); PepsiCo; McDonald's
Texas Instruments,TXN,Technology,Semiconductors & Hardware,baseline,SEC filings,76,0,68,94,72,50.0,0,0,0.0,0.0,1.9,51.9,Tier 2,Nurture,Strong Adopters,Intel; Applied Materials; HP Inc.; Rockwell Automation; Toyota (Americas)
Regeneron,REGN,Healthcare,Pharma & Biotech,baseline,SEC filings,78,14,78,82,50,51.7,0,0,0.0,0.0,0.1,51.800000000000004,Tier 3,Monitor,Steady Middle,Citigroup; Vertex Pharmaceuticals; Honeywell; Charles Schwab; Rockwell Automation
Charles Schwab,SCHW,Financial Services,Banks,baseline,SEC filings,82,21,78,72,46,51.2,0,0,0.0,0.0,0.6,51.800000000000004,Tier 3,Monitor,Steady Middle,Wells Fargo; Citigroup; Regeneron; Stryker; Honeywell
Capital One,COF,Financial Services,Banks,baseline,SEC filings,88,0,82,47,54,49.6,0,0,0.0,0.0,2.2,51.800000000000004,Tier 3,Monitor,Steady Middle,Intuitive Surgical; The Home Depot; Abbott Laboratories; CVS Health; Medtronic
Nike,NKE,Retail & Consumer,CPG & Food/Beverage,baseline,SEC filings,72,7,76,100,36,48.4,0,0,0.0,0.0,2.8,51.199999999999996,Tier 3,Monitor,Watch List,Unilever (Americas); Coca-Cola; PepsiCo; Starbucks; Emerson Electric
Toyota (Americas),TM,Manufacturing & Industrial,Automotive,baseline,SEC filings,80,0,76,88,50,50.4,0,0,0.0,0.0,0.8,51.199999999999996,Tier 3,Monitor,Steady Middle,General Motors; Vertex Pharmaceuticals; Johnson & Johnson; Merck; Thermo Fisher Scientific
Bristol Myers Squibb,BMY,Healthcare,Pharma & Biotech,baseline,SEC filings,70,14,74,94,46,49.9,0,0,0.0,0.0,0.8,50.699999999999996,Tier 3,Monitor,Watch List,Gilead Sciences; AbbVie; Emerson Electric; Rockwell Automation; Starbucks
General Motors,GM,Manufacturing & Industrial,Automotive,baseline,SEC filings,80,0,76,88,50,50.4,0,0,0.0,0.0,0.0,50.4,Tier 3,Monitor,Steady Middle,Toyota (Americas); Vertex Pharmaceuticals; Johnson & Johnson; Merck; Thermo Fisher Scientific
The Walt Disney Company,DIS,Media & Entertainment,Media & Entertainment,baseline,SEC filings,80,0,86,84,44,48.3,0,0,0.0,0.0,1.9,50.199999999999996,Tier 3,Monitor,Steady Middle,Comcast (NBCUniversal); Global Payments; Infosys (Americas); Booz Allen Hamilton; Spotify
Gilead Sciences,GILD,Healthcare,Pharma & Biotech,baseline,SEC filings,70,14,74,94,46,49.9,0,0,0.0,0.0,0.2,50.1,Tier 3,Monitor,Watch List,Bristol Myers Squibb; AbbVie; Emerson Electric; Rockwell Automation; Starbucks
Cummins,CMI,Manufacturing & Industrial,Automotive,baseline,SEC filings,72,28,72,88,46,46.6,0,0,0.0,0.0,3.5,50.1,Tier 3,Monitor,Watch List,GE Aerospace; AbbVie; Bristol Myers Squibb; Gilead Sciences; Eaton
TD Bank Group,TD,Financial Services,Banks,baseline,SEC filings,82,0,78,84,46,47.6,0,0,0.0,0.0,2.1,49.7,Tier 3,Monitor,Steady Middle,Toyota (Americas); General Motors; Vertex Pharmaceuticals; Citigroup; Merck
Comcast (NBCUniversal),CMCSA,Media & Entertainment,Media & Entertainment,baseline,SEC filings,80,0,86,84,44,48.3,0,0,0.0,0.0,1.2,49.5,Tier 3,Monitor,Steady Middle,The Walt Disney Company; Global Payments; Infosys (Americas); Booz Allen Hamilton; Spotify
Coca-Cola,KO,Retail & Consumer,CPG & Food/Beverage,baseline,SEC filings,72,0,76,100,36,44.7,0,0,0.0,0.0,4.1,48.800000000000004,Tier 3,Monitor,Watch List,PepsiCo; Unilever (Americas); Nike; Starbucks; Emerson Electric
Global Payments,GPN,Financial Services,Payments & Fintech,baseline,SEC filings,78,0,84,80,44,43.9,0,0,0.0,0.0,4.1,48.0,Tier 3,Monitor,Steady Middle,The Walt Disney Company; Comcast (NBCUniversal); Warner Bros. Discovery; Infosys (Americas); Vertex Pharmaceuticals
GE Aerospace,GE,Manufacturing & Industrial,Aerospace & Defense,baseline,SEC filings,74,35,72,84,44,43.4,0,0,0.0,0.0,4.1,47.5,Tier 3,Monitor,Late Starters,Cummins; Aon; Ford Motor; AbbVie; Honeywell
Stryker,SYK,Healthcare,"Payers, Providers & MedTech",baseline,SEC filings,76,21,76,64,50,46.8,0,0,0.0,0.0,0.3,47.099999999999994,Tier 3,Monitor,Steady Middle,Medtronic; Charles Schwab; Wells Fargo; Intuitive Surgical; PNC Financial
PepsiCo,PEP,Retail & Consumer,CPG & Food/Beverage,baseline,SEC filings,72,0,76,100,36,44.7,0,0,0.0,0.0,2.3,47.0,Tier 3,Monitor,Watch List,Unilever (Americas); Coca-Cola; Nike; Starbucks; Emerson Electric
Medtronic,MDT,Healthcare,"Payers, Providers & MedTech",baseline,SEC filings,76,14,76,64,50,44.9,0,0,0.0,0.0,1.8,46.699999999999996,Tier 3,Monitor,Steady Middle,Stryker; Abbott Laboratories; PNC Financial; Charles Schwab; Intuitive Surgical
Berkshire Hathaway,BRK.B,Financial Services,Asset Mgmt & Insurance,baseline,,66,62,74,88,34,41.5,0,0,0.0,0.0,5.0,46.5,Tier 3,Monitor,Late Starters,American Airlines; FedEx; Marsh McLennan; Procter & Gamble; C.H. Robinson
Unilever (Americas),UL,Retail & Consumer,CPG & Food/Beverage,baseline,SEC filings,72,0,76,100,36,44.7,0,0,0.0,0.0,1.1,45.800000000000004,Tier 3,Monitor,Watch List,PepsiCo; Coca-Cola; Nike; Starbucks; Emerson Electric
Vertex Pharmaceuticals,VRTX,Healthcare,Pharma & Biotech,baseline,SEC filings,78,0,78,82,50,45.6,0,0,0.0,0.0,0.0,45.6,Tier 3,Monitor,Steady Middle,General Motors; Toyota (Americas); TD Bank Group; Johnson & Johnson; Merck
Emerson Electric,EMR,Manufacturing & Industrial,Industrial & Materials,baseline,SEC filings,70,0,72,96,44,42.0,0,0,0.0,0.0,0.7,42.7,Tier 3,Monitor,Watch List,Schlumberger; Shell (Americas); Stellantis; RTX; Lockheed Martin
Target,TGT,Retail & Consumer,Retail,baseline,SEC filings,74,7,78,21,46,37.4,0,0,0.0,0.0,5.0,42.4,Tier 3,Monitor,Early Stage,CVS Health; Lowe's; Kroger; The Home Depot; Fox Corporation
Caterpillar,CAT,Manufacturing & Industrial,Industrial & Materials,baseline,SEC filings,62,14,68,96,40,37.4,0,0,0.0,0.0,5.0,42.4,Tier 3,Monitor,Watch List,Parker Hannifin; Chevron; Dow; Illinois Tool Works; Colgate-Palmolive
CVS Health,CVS,Healthcare,"Payers, Providers & MedTech",baseline,SEC filings,76,7,76,27,50,39.0,0,0,0.0,0.0,3.2,42.2,Tier 3,Monitor,Early Stage,Target; The Home Depot; Lowe's; Kroger; Truist
UPS,UPS,Logistics & Transportation,Logistics & Transportation,baseline,SEC filings,72,0,76,84,44,36.7,0,0,0.0,0.0,5.0,41.7,Tier 3,Monitor,Watch List,Northrop Grumman; RTX; Lockheed Martin; Stellantis; U.S. Bancorp
Colgate-Palmolive,CL,Retail & Consumer,CPG & Food/Beverage,baseline,SEC filings,64,14,72,100,32,39.2,0,0,0.0,0.0,2.0,41.2,Tier 3,Monitor,Watch List,Estee Lauder; General Mills; Mondelez; Kraft Heinz; MetLife
The Home Depot,HD,Retail & Consumer,Retail,baseline,SEC filings,74,7,78,46,46,38.6,0,0,0.0,0.0,2.5,41.1,Tier 3,Monitor,Early Stage,Progressive; Fox Corporation; Truist; CVS Health; Medtronic
Warner Bros. Discovery,WBD,Media & Entertainment,Media & Entertainment,baseline,SEC filings,72,0,82,84,40,37.6,0,0,0.0,0.0,1.7,39.300000000000004,Tier 3,Monitor,Steady Middle,Global Payments; UPS; Comcast (NBCUniversal); The Walt Disney Company; Vertex Pharmaceuticals
AIG,AIG,Financial Services,Asset Mgmt & Insurance,baseline,SEC filings,66,28,74,88,34,37.6,0,0,0.0,0.0,1.7,39.300000000000004,Tier 3,Monitor,Watch List,MetLife; C.H. Robinson; McDonald's; Colgate-Palmolive; AbbVie
Abbott Laboratories,ABT,Healthcare,"Payers, Providers & MedTech",baseline,SEC filings,76,0,76,64,50,38.8,0,0,0.0,0.0,0.1,38.9,Tier 3,Monitor,Steady Middle,Medtronic; U.S. Bancorp; PNC Financial; Vertex Pharmaceuticals; Stryker
Truist,TFC,Financial Services,Banks,baseline,SEC filings,74,21,74,47,42,33.7,0,0,0.0,0.0,5.0,38.7,Tier 3,Monitor,Early Stage,The Home Depot; Fox Corporation; Stryker; NextEra Energy; Medtronic
